 A ( ADVERB ) 
 andreottianissimo ( ADJECTIVE ) lemma=`andreottiano` ADJ  
 andreottiano ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=`andreottiano`andreottiano` ADJ  NOUN  
 andreste ( VERB ) lemma=`andare` VER:fin  
 andresti ( VERB ) lemma=`andare` VER:fin  
 andrete ( VERB ) lemma=`andare` VER:fin  
 andro' ( VERB ) lemma=`andare` VER:fin  
 androgina ( ADJECTIVE ) lemma=`androgino` ADJ  
 androgine ( ADJECTIVE ) lemma=`androgino` ADJ  
 androgini ( ADJECTIVE ) lemma=`androgino` ADJ  
 androginissima ( ADJECTIVE ) lemma=`androgino` ADJ  
 androginissime ( ADJECTIVE ) lemma=`androgino` ADJ  
 androginissimi ( ADJECTIVE ) lemma=`androgino` ADJ  
 androginissimo ( ADJECTIVE ) lemma=`androgino` ADJ  
 androgino ( ADJECTIVE ) 
 andrologi ( NOUN NOUN_SINGULAR ) lemma=`andrologo` NOUN  
 andrologo ( NOUN NOUN_SINGULAR ) 
 androne ( NOUN NOUN_SINGULAR ) 
 androni ( NOUN NOUN_SINGULAR ) lemma=`androne` NOUN  
 andropoviana ( ADJECTIVE ) lemma=`andropoviano` ADJ  
 andropoviane ( ADJECTIVE ) lemma=`andropoviano` ADJ  
 andropoviani ( ADJECTIVE ) lemma=`andropoviano` ADJ  
 andropovianissima ( ADJECTIVE ) lemma=`andropoviano` ADJ  
 andropovianissime ( ADJECTIVE ) lemma=`andropoviano` ADJ  
 andropovianissimi ( ADJECTIVE ) lemma=`andropoviano` ADJ  
 andropovianissimo ( ADJECTIVE ) lemma=`andropoviano` ADJ  
 andropoviano ( ADJECTIVE ) 
 andrà ( VERB ) lemma=`andare` VER:fin  
 andrò ( VERB ) lemma=`andare` VER:fin  
 andò ( VERB ) lemma=`andare` VER:fin  
 aneddoti ( NOUN NOUN_SINGULAR ) lemma=`aneddoto` NOUN  
 aneddoto ( NOUN NOUN_SINGULAR ) 
 anedottica ( ADJECTIVE ) lemma=`anedottico` ADJ  
 anedottiche ( ADJECTIVE ) lemma=`anedottico` ADJ  
 anedottici ( ADJECTIVE ) lemma=`anedottico` ADJ  
 anedotticissima ( ADJECTIVE ) lemma=`anedottico` ADJ  
 anedotticissime ( ADJECTIVE ) lemma=`anedottico` ADJ  
 anedotticissimi ( ADJECTIVE ) lemma=`anedottico` ADJ  
 anedotticissimo ( ADJECTIVE ) lemma=`anedottico` ADJ  
 anedottico ( ADJECTIVE ) 
 anela ( VERB ) lemma=`anelare` VER:fin  
 anelai ( VERB ) lemma=`anelare` VER:fin  
 anelammo ( VERB ) lemma=`anelare` VER:fin  
 anelan ( VERB ) lemma=`anelare` VER:fin  
 anelando ( NOUN NOUN_GERUND ) lemma=`anelare` VER:geru  
 anelano ( VERB ) lemma=`anelare` VER:fin  
 anelante ( VERB_PRESENT_PARTICIPLE VERB ADJECTIVE ) lemma=`anelante`anelare` ADJ  VER:ppre  
 anelanti ( VERB_PRESENT_PARTICIPLE VERB ADJECTIVE ) lemma=`anelante`anelare` ADJ  VER:ppre  
 anelantissima ( ADJECTIVE ) lemma=`anelante` ADJ  
 anelantissime ( ADJECTIVE ) lemma=`anelante` ADJ  
 anelantissimi ( ADJECTIVE ) lemma=`anelante` ADJ  
 anelantissimo ( ADJECTIVE ) lemma=`anelante` ADJ  
 anelar ( VERB_INFINITIVE VERB ) lemma=`anelare` VER:infi  
 anelare ( VERB_INFINITIVE VERB ) 
 anelaron ( VERB ) lemma=`anelare` VER:fin  
 anelarono ( VERB ) lemma=`anelare` VER:fin  
 anelasse ( VERB ) lemma=`anelare` VER:fin  
 anelasser ( VERB ) lemma=`anelare` VER:fin  
 anelassero ( VERB ) lemma=`anelare` VER:fin  
 anelassi ( VERB ) lemma=`anelare` VER:fin  
 anelassimo ( VERB ) lemma=`anelare` VER:fin  
 anelaste ( VERB ) lemma=`anelare` VER:fin  
 anelasti ( VERB ) lemma=`anelare` VER:fin  
 anelastica ( ADJECTIVE ) lemma=`anelastico` ADJ  
 anelastiche ( ADJECTIVE ) lemma=`anelastico` ADJ  
 anelastici ( ADJECTIVE ) lemma=`anelastico` ADJ  
 anelasticissima ( ADJECTIVE ) lemma=`anelastico` ADJ  
 anelasticissime ( ADJECTIVE ) lemma=`anelastico` ADJ  
 anelasticissimi ( ADJECTIVE ) lemma=`anelastico` ADJ  
 anelasticissimo ( ADJECTIVE ) lemma=`anelastico` ADJ  
 anelastico ( ADJECTIVE ) 
 anelata ( VERB_PAST_PARTICIPLE VERB ) lemma=`anelare` VER:ppast  
 anelate ( VERB_PAST_PARTICIPLE VERB ) lemma=`anelare`anelare` VER:fin  VER:ppast  
 anelati ( VERB_PAST_PARTICIPLE VERB ) lemma=`anelare` VER:ppast  
 anelato ( VERB_PAST_PARTICIPLE VERB ) lemma=`anelare` VER:ppast  
 anelava ( VERB ) lemma=`anelare` VER:fin  
 anelavamo ( VERB ) lemma=`anelare` VER:fin  
 anelavan ( VERB ) lemma=`anelare` VER:fin  
 anelavano ( VERB ) lemma=`anelare` VER:fin  
 anelavate ( VERB ) lemma=`anelare` VER:fin  
 anelavi ( VERB ) lemma=`anelare` VER:fin  
 anelavo ( VERB ) lemma=`anelare` VER:fin  
 anelera' ( VERB ) lemma=`anelare` VER:fin  
 anelerai ( VERB ) lemma=`anelare` VER:fin  
 aneleran ( VERB ) lemma=`anelare` VER:fin  
 aneleranno ( VERB ) lemma=`anelare` VER:fin  
 anelerebbe ( VERB ) lemma=`anelare` VER:fin  
 anelerebber ( VERB ) lemma=`anelare` VER:fin  
 anelerebbero ( VERB ) lemma=`anelare` VER:fin  
 anelerei ( VERB ) lemma=`anelare` VER:fin  
 aneleremmo ( VERB ) lemma=`anelare` VER:fin  
 aneleremo ( VERB ) lemma=`anelare` VER:fin  
 anelereste ( VERB ) lemma=`anelare` VER:fin  
 aneleresti ( VERB ) lemma=`anelare` VER:fin  
 anelerete ( VERB ) lemma=`anelare` VER:fin  
 anelero' ( VERB ) lemma=`anelare` VER:fin  
 anelerà ( VERB ) lemma=`anelare` VER:fin  
 anelerò ( VERB ) lemma=`anelare` VER:fin  
 aneli ( VERB ) lemma=`anelare` VER:fin  
 aneliamo ( VERB ) lemma=`anelare` VER:fin  
 aneliate ( VERB ) lemma=`anelare` VER:fin  
 anelin ( VERB ) lemma=`anelare` VER:fin  
 anelino ( VERB ) lemma=`anelare` VER:fin  
 aneliti ( NOUN NOUN_SINGULAR ) lemma=`anelito` NOUN  
 anelito ( NOUN NOUN_SINGULAR ) 
 anelli ( NOUN NOUN_SINGULAR ) lemma=`anello` NOUN  
 anellini ( NOUN NOUN_SINGULAR ) lemma=`anellino` NOUN  
 anellino ( NOUN NOUN_SINGULAR ) 
 anello ( NOUN NOUN_SINGULAR ) 
 anelo ( VERB ) lemma=`anelare` VER:fin  
 anelo' ( VERB ) lemma=`anelare` VER:fin  
 anelò ( VERB ) lemma=`anelare` VER:fin  
 anemia ( NOUN NOUN_SINGULAR ) 
 anemica ( ADJECTIVE ) lemma=`anemico` ADJ  
 anemiche ( ADJECTIVE ) lemma=`anemico` ADJ  
 anemici ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=`anemico`anemico` ADJ  NOUN  
 anemicissima ( ADJECTIVE ) lemma=`anemico` ADJ  
 anemicissime ( ADJECTIVE ) lemma=`anemico` ADJ  
 anemicissimi ( ADJECTIVE ) lemma=`anemico` ADJ  
 anemicissimo ( ADJECTIVE ) lemma=`anemico` ADJ  
 anemico ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=`anemico`anemico` ADJ  NOUN  
 anemie ( NOUN NOUN_SINGULAR ) lemma=`anemia` NOUN  
 anestesia ( NOUN NOUN_SINGULAR ) 
 anestesie ( NOUN NOUN_SINGULAR ) lemma=`anestesia` NOUN  
 anestesista ( NOUN NOUN_SINGULAR ) 
 anestesisti ( NOUN NOUN_SINGULAR ) lemma=`anestesista` NOUN  
 anestetica ( ADJECTIVE ) lemma=`anestetico` ADJ  
 anestetiche ( ADJECTIVE ) lemma=`anestetico` ADJ  
 anestetici ( ADJECTIVE ) lemma=`anestetico` ADJ  
 anesteticissima ( ADJECTIVE ) lemma=`anestetico` ADJ  
 anesteticissime ( ADJECTIVE ) lemma=`anestetico` ADJ  
 anesteticissimi ( ADJECTIVE ) lemma=`anestetico` ADJ  
 anesteticissimo ( ADJECTIVE ) lemma=`anestetico` ADJ  
 anestetico ( ADJECTIVE ) 
 anestetizza ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzai ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzammo ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzan ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzando ( NOUN NOUN_GERUND ) lemma=`anestetizzare` VER:geru  
 anestetizzandolo ( NOUN NOUN_GERUND ) lemma=`anestetizzare` VER:geru:cli  
 anestetizzano ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`anestetizzare` VER:ppre  
 anestetizzanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`anestetizzare` VER:ppre  
 anestetizzar ( VERB_INFINITIVE VERB ) lemma=`anestetizzare` VER:infi  
 anestetizzare ( VERB_INFINITIVE VERB ) 
 anestetizzaron ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzarono ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzasse ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzasser ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzassero ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzassi ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzassimo ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzaste ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzasti ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzata ( VERB_PAST_PARTICIPLE VERB ) lemma=`anestetizzare` VER:ppast  
 anestetizzate ( VERB_PAST_PARTICIPLE VERB ) lemma=`anestetizzare`anestetizzare` VER:fin  VER:ppast  
 anestetizzati ( VERB_PAST_PARTICIPLE VERB ) lemma=`anestetizzare` VER:ppast  
 anestetizzato ( VERB_PAST_PARTICIPLE VERB ) lemma=`anestetizzare` VER:ppast  
 anestetizzava ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzavamo ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzavan ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzavano ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzavate ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzavi ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzavo ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzera' ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzerai ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzeran ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzeranno ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzerebbe ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzerebber ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzerebbero ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzerei ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzeremmo ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzeremo ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzereste ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzeresti ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzerete ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzero' ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzerà ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzerò ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzi ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizziamo ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizziate ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzin ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzino ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzo ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzo' ( VERB ) lemma=`anestetizzare` VER:fin  
 anestetizzò ( VERB ) lemma=`anestetizzare` VER:fin  
 anfana ( VERB ) lemma=`anfanare` VER:fin  
 anfanai ( VERB ) lemma=`anfanare` VER:fin  
 anfanammo ( VERB ) lemma=`anfanare` VER:fin  
 anfanan ( VERB ) lemma=`anfanare` VER:fin  
 anfanando ( NOUN NOUN_GERUND ) lemma=`anfanare` VER:geru  
 anfanano ( VERB ) lemma=`anfanare` VER:fin  
 anfanante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`anfanare` VER:ppre  
 anfananti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`anfanare` VER:ppre  
 anfanar ( VERB_INFINITIVE VERB ) lemma=`anfanare` VER:infi  
 anfanare ( VERB_INFINITIVE VERB ) 
 anfanaron ( VERB ) lemma=`anfanare` VER:fin  
 anfanarono ( VERB ) lemma=`anfanare` VER:fin  
 anfanasse ( VERB ) lemma=`anfanare` VER:fin  
 anfanasser ( VERB ) lemma=`anfanare` VER:fin  
 anfanassero ( VERB ) lemma=`anfanare` VER:fin  
 anfanassi ( VERB ) lemma=`anfanare` VER:fin  
 anfanassimo ( VERB ) lemma=`anfanare` VER:fin  
 anfanaste ( VERB ) lemma=`anfanare` VER:fin  
 anfanasti ( VERB ) lemma=`anfanare` VER:fin  
 anfanata ( VERB_PAST_PARTICIPLE VERB ) lemma=`anfanare` VER:ppast  
 anfanate ( VERB_PAST_PARTICIPLE VERB ) lemma=`anfanare`anfanare` VER:fin  VER:ppast  
 anfanati ( VERB_PAST_PARTICIPLE VERB ) lemma=`anfanare` VER:ppast  
 anfanato ( VERB_PAST_PARTICIPLE VERB ) lemma=`anfanare` VER:ppast  
 anfanava ( VERB ) lemma=`anfanare` VER:fin  
 anfanavamo ( VERB ) lemma=`anfanare` VER:fin  
 anfanavan ( VERB ) lemma=`anfanare` VER:fin  
 anfanavano ( VERB ) lemma=`anfanare` VER:fin  
 anfanavate ( VERB ) lemma=`anfanare` VER:fin  
 anfanavi ( VERB ) lemma=`anfanare` VER:fin  
 anfanavo ( VERB ) lemma=`anfanare` VER:fin  
 anfanera' ( VERB ) lemma=`anfanare` VER:fin  
 anfanerai ( VERB ) lemma=`anfanare` VER:fin  
 anfaneran ( VERB ) lemma=`anfanare` VER:fin  
 anfaneranno ( VERB ) lemma=`anfanare` VER:fin  
 anfanerebbe ( VERB ) lemma=`anfanare` VER:fin  
 anfanerebber ( VERB ) lemma=`anfanare` VER:fin  
 anfanerebbero ( VERB ) lemma=`anfanare` VER:fin  
 anfanerei ( VERB ) lemma=`anfanare` VER:fin  
 anfaneremmo ( VERB ) lemma=`anfanare` VER:fin  
 anfaneremo ( VERB ) lemma=`anfanare` VER:fin  
 anfanereste ( VERB ) lemma=`anfanare` VER:fin  
 anfaneresti ( VERB ) lemma=`anfanare` VER:fin  
 anfanerete ( VERB ) lemma=`anfanare` VER:fin  
 anfanero' ( VERB ) lemma=`anfanare` VER:fin  
 anfanerà ( VERB ) lemma=`anfanare` VER:fin  
 anfanerò ( VERB ) lemma=`anfanare` VER:fin  
 anfani ( VERB ) lemma=`anfanare` VER:fin  
 anfaniamo ( VERB ) lemma=`anfanare` VER:fin  
 anfaniate ( VERB ) lemma=`anfanare` VER:fin  
 anfanin ( VERB ) lemma=`anfanare` VER:fin  
 anfanino ( VERB ) lemma=`anfanare` VER:fin  
 anfano ( VERB ) lemma=`anfanare` VER:fin  
 anfano' ( VERB ) lemma=`anfanare` VER:fin  
 anfanò ( VERB ) lemma=`anfanare` VER:fin  
 anfetamina ( NOUN NOUN_SINGULAR ) 
 anfetamine ( NOUN NOUN_SINGULAR ) lemma=`anfetamina` NOUN  
 anfetaminizzata ( ADJECTIVE ) lemma=`anfetaminizzato` ADJ  
 anfetaminizzate ( ADJECTIVE ) lemma=`anfetaminizzato` ADJ  
 anfetaminizzati ( ADJECTIVE ) lemma=`anfetaminizzato` ADJ  
 anfetaminizzatissima ( ADJECTIVE ) lemma=`anfetaminizzato` ADJ  
 anfetaminizzatissime ( ADJECTIVE ) lemma=`anfetaminizzato` ADJ  
 anfetaminizzatissimi ( ADJECTIVE ) lemma=`anfetaminizzato` ADJ  
 anfetaminizzatissimo ( ADJECTIVE ) lemma=`anfetaminizzato` ADJ  
 anfetaminizzato ( ADJECTIVE ) 
 anfibi ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=`anfibio`anfibio` ADJ  NOUN  
 anfibia ( ADJECTIVE ) lemma=`anfibio` ADJ  
 anfibie ( ADJECTIVE ) lemma=`anfibio` ADJ  
 anfibio ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=`anfibio`anfibio` ADJ  NOUN  
 anfibissima ( ADJECTIVE ) lemma=`anfibio` ADJ  
 anfibissime ( ADJECTIVE ) lemma=`anfibio` ADJ  
 anfibissimi ( ADJECTIVE ) lemma=`anfibio` ADJ  
 anfibissimo ( ADJECTIVE ) lemma=`anfibio` ADJ  
 anfiteatri ( NOUN NOUN_SINGULAR ) lemma=`anfiteatro` NOUN  
 anfiteatro ( NOUN NOUN_SINGULAR ) 
 anfitrione ( NOUN NOUN_SINGULAR ) 
 anfitrioni ( NOUN NOUN_SINGULAR ) lemma=`anfitrione` NOUN  
 anfora ( NOUN NOUN_SINGULAR ) 
 anfore ( NOUN NOUN_SINGULAR ) lemma=`anfora` NOUN  
 anfratti ( NOUN NOUN_SINGULAR ) lemma=`anfratto` NOUN  
 anfratto ( NOUN NOUN_SINGULAR ) 
 angari ( VERB ) lemma=`angariare` VER:fin  
 angaria ( VERB ) lemma=`angariare` VER:fin  
 angariai ( VERB ) lemma=`angariare` VER:fin  
 angariammo ( VERB ) lemma=`angariare` VER:fin  
 angariamo ( VERB ) lemma=`angariare` VER:fin  
 angarian ( VERB ) lemma=`angariare` VER:fin  
 angariando ( NOUN NOUN_GERUND ) lemma=`angariare` VER:geru  
 angariano ( VERB ) lemma=`angariare` VER:fin  
 angariante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`angariare` VER:ppre  
 angarianti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`angariare` VER:ppre  
 angariar ( VERB_INFINITIVE VERB ) lemma=`angariare` VER:infi  
 angariare ( VERB_INFINITIVE VERB ) 
 angariaron ( VERB ) lemma=`angariare` VER:fin  
 angariarono ( VERB ) lemma=`angariare` VER:fin  
 angariasse ( VERB ) lemma=`angariare` VER:fin  
 angariasser ( VERB ) lemma=`angariare` VER:fin  
 angariassero ( VERB ) lemma=`angariare` VER:fin  
 angariassi ( VERB ) lemma=`angariare` VER:fin  
 angariassimo ( VERB ) lemma=`angariare` VER:fin  
 angariaste ( VERB ) lemma=`angariare` VER:fin  
 angariasti ( VERB ) lemma=`angariare` VER:fin  
 angariata ( VERB_PAST_PARTICIPLE VERB ) lemma=`angariare` VER:ppast  
 angariate ( VERB_PAST_PARTICIPLE VERB ) lemma=`angariare`angariare` VER:fin  VER:ppast  
 angariati ( VERB_PAST_PARTICIPLE VERB ) lemma=`angariare` VER:ppast  
 angariato ( VERB_PAST_PARTICIPLE VERB ) lemma=`angariare` VER:ppast  
 angariava ( VERB ) lemma=`angariare` VER:fin  
 angariavamo ( VERB ) lemma=`angariare` VER:fin  
 angariavan ( VERB ) lemma=`angariare` VER:fin  
 angariavano ( VERB ) lemma=`angariare` VER:fin  
 angariavate ( VERB ) lemma=`angariare` VER:fin  
 angariavi ( VERB ) lemma=`angariare` VER:fin  
 angariavo ( VERB ) lemma=`angariare` VER:fin  
 angariera' ( VERB ) lemma=`angariare` VER:fin  
 angarierai ( VERB ) lemma=`angariare` VER:fin  
 angarieran ( VERB ) lemma=`angariare` VER:fin  
 angarieranno ( VERB ) lemma=`angariare` VER:fin  
 angarierebbe ( VERB ) lemma=`angariare` VER:fin  
 angarierebber ( VERB ) lemma=`angariare` VER:fin  
 angarierebbero ( VERB ) lemma=`angariare` VER:fin  
 angarierei ( VERB ) lemma=`angariare` VER:fin  
 angarieremmo ( VERB ) lemma=`angariare` VER:fin  
 angarieremo ( VERB ) lemma=`angariare` VER:fin  
 angariereste ( VERB ) lemma=`angariare` VER:fin  
 angarieresti ( VERB ) lemma=`angariare` VER:fin  
 angarierete ( VERB ) lemma=`angariare` VER:fin  
 angariero' ( VERB ) lemma=`angariare` VER:fin  
 angarierà ( VERB ) lemma=`angariare` VER:fin  
 angarierò ( VERB ) lemma=`angariare` VER:fin  
 angarin ( VERB ) lemma=`angariare` VER:fin  
 angarino ( VERB ) lemma=`angariare` VER:fin  
 angario ( VERB ) lemma=`angariare` VER:fin  
 angario' ( VERB ) lemma=`angariare` VER:fin  
 angariò ( VERB ) lemma=`angariare` VER:fin  
 angeli ( NOUN NOUN_SINGULAR ) lemma=`angelo` NOUN  
 angelica ( ADJECTIVE ) lemma=`angelico` ADJ  
 angeliche ( ADJECTIVE ) lemma=`angelico` ADJ  
 angelici ( ADJECTIVE ) lemma=`angelico` ADJ  
 angelicissima ( ADJECTIVE ) lemma=`angelico` ADJ  
 angelicissime ( ADJECTIVE ) lemma=`angelico` ADJ  
 angelicissimi ( ADJECTIVE ) lemma=`angelico` ADJ  
 angelicissimo ( ADJECTIVE ) lemma=`angelico` ADJ  
 angelico ( ADJECTIVE ) 
 angelo ( NOUN NOUN_SINGULAR ) 
 angheria ( NOUN NOUN_SINGULAR ) 
 angherie ( NOUN NOUN_SINGULAR ) lemma=`angheria` NOUN  
 angioletti ( NOUN NOUN_SINGULAR ) lemma=`angioletto` NOUN  
 angioletto ( NOUN NOUN_SINGULAR ) 
 angioma ( NOUN NOUN_SINGULAR ) 
 angiomi ( NOUN NOUN_SINGULAR ) lemma=`angioma` NOUN  
 angiporti ( NOUN NOUN_SINGULAR ) lemma=`angiporto` NOUN  
 angiporto ( NOUN NOUN_SINGULAR ) 
 anglicana ( ADJECTIVE ) lemma=`anglicano` ADJ  
 anglicane ( ADJECTIVE ) lemma=`anglicano` ADJ  
 anglicani ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=`anglicano`anglicano` ADJ  NOUN  
 anglicanissima ( ADJECTIVE ) lemma=`anglicano` ADJ  
 anglicanissime ( ADJECTIVE ) lemma=`anglicano` ADJ  
 anglicanissimi ( ADJECTIVE ) lemma=`anglicano` ADJ  
 anglicanissimo ( ADJECTIVE ) lemma=`anglicano` ADJ  
 anglicano ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=`anglicano`anglicano` ADJ  NOUN  
 anglicismi ( NOUN NOUN_SINGULAR ) lemma=`anglicismo` NOUN  
 anglicismo ( NOUN NOUN_SINGULAR ) 
 anglicizza ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzai ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzammo ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzan ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzando ( NOUN NOUN_GERUND ) lemma=`anglicizzare` VER:geru  
 anglicizzano ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`anglicizzare` VER:ppre  
 anglicizzanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`anglicizzare` VER:ppre  
 anglicizzar ( VERB_INFINITIVE VERB ) lemma=`anglicizzare` VER:infi  
 anglicizzare ( VERB_INFINITIVE VERB ) 
 anglicizzaron ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzarono ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzasse ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzasser ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzassero ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzassi ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzassimo ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzaste ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzasti ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzata ( VERB_PAST_PARTICIPLE VERB ) lemma=`anglicizzare` VER:ppast  
 anglicizzate ( VERB_PAST_PARTICIPLE VERB ) lemma=`anglicizzare`anglicizzare` VER:fin  VER:ppast  
 anglicizzati ( VERB_PAST_PARTICIPLE VERB ) lemma=`anglicizzare` VER:ppast  
 anglicizzato ( VERB_PAST_PARTICIPLE VERB ) lemma=`anglicizzare` VER:ppast  
 anglicizzava ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzavamo ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzavan ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzavano ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzavate ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzavi ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzavo ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzera' ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzerai ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzeran ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzeranno ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzerebbe ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzerebber ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzerebbero ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzerei ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzeremmo ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzeremo ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzereste ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzeresti ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzerete ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzero' ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzerà ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzerò ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzi ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizziamo ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizziate ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzin ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzino ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzo ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzo' ( VERB ) lemma=`anglicizzare` VER:fin  
 anglicizzò ( VERB ) lemma=`anglicizzare` VER:fin  
 anglista ( NOUN NOUN_SINGULAR ) 
 anglisti ( NOUN NOUN_SINGULAR ) lemma=`anglista` NOUN  
 anglo-americana ( ADJECTIVE ) lemma=`anglo-americano` ADJ  
 anglo-americane ( ADJECTIVE ) lemma=`anglo-americano` ADJ  
 anglo-americani ( ADJECTIVE ) lemma=`anglo-americano` ADJ  
 anglo-americanissima ( ADJECTIVE ) lemma=`anglo-americano` ADJ  
 anglo-americanissime ( ADJECTIVE ) lemma=`anglo-americano` ADJ  
 anglo-americanissimi ( ADJECTIVE ) lemma=`anglo-americano` ADJ  
 anglo-americanissimo ( ADJECTIVE ) lemma=`anglo-americano` ADJ  
 anglo-americano ( ADJECTIVE ) 
 anglo-australiana ( ADJECTIVE ) lemma=`anglo-australiano` ADJ  
 anglo-australiane ( ADJECTIVE ) lemma=`anglo-australiano` ADJ  
